Terminal Name,Terminal Nickname,Firms Code,Port Name,Port Code,City,State,Country,Time Zone,Support
Dundalk Marine Terminal,Dundalk,A321,Baltimore,USBAL,Baltimore,MD,US,America/New_York,Yes
Seagirt Terminal,Seagirt,C324,Baltimore,USBAL,Baltimore,MD,US,America/New_York,Yes
Paul W Conley Terminal,Conley Terminal,A295,Boston,USBOS,Boston,MA,US,America/New_York,Yes
Barbours Cut Terminal,APM,S787,Houston,USHOU,Houston,TX,US,America/Chicago,Yes
Bayport Container Terminal,Bayport,V136,Houston,USHOU,Houston,TX,US,America/Chicago,Yes
SSA Cooper,SSA Cooper,N296,JAXPORT,USJAX,Jacksonville,FL,US,America/New_York,Yes
Trapac Jacksonville Terminal,Trapac Jacksonville,M029,JAXPORT,USJAX,Jacksonville,FL,US,America/New_York,Yes
Long Beach Container Terminal,LBCT Pier F,W183,Long Beach,USLGB,Los Angeles,CA,US,America/Los_Angeles,Yes
Long Beach Container Terminal,LBCT Pier E,WAC8,Long Beach,USLGB,Los Angeles,CA,US,America/Los_Angeles,Yes
Total Terminals International,TTI,Z952,Long Beach,USLGB,Los Angeles,CA,US,America/Los_Angeles,Yes
International Transportation Service,ITS,Y309,Long Beach,USLGB,Los Angeles,CA,US,America/Los_Angeles,Yes
Pacific Container Terminal,PCT,W182,Long Beach,USLGB,Los Angeles,CA,US,America/Los_Angeles,Yes
SSA Pier A,Pier A,Z978,Long Beach,USLGB,Los Angeles,CA,US,America/Los_Angeles,Yes
APM Terminals,APMT,W185,Los Angeles,USLAX,Los Angeles,CA,US,America/Los_Angeles,Yes
Fenix Marine Services,FMS,Y257,Los Angeles,USLAX,Los Angeles,CA,US,America/Los_Angeles,Yes
West Basin Container Terminal,WBCT,Y773,Los Angeles,USLAX,Los Angeles,CA,US,America/Los_Angeles,Yes
Everport Terminal Serivces,ETS,Y124,Los Angeles,USLAX,Los Angeles,CA,US,America/Los_Angeles,Yes
TraPac LA,TraPac LA,Y258,Los Angeles,USLAX,Los Angeles,CA,US,America/Los_Angeles,Yes
Yusen Terminals,Yusen,Y790,Los Angeles,USLAX,Los Angeles,CA,US,America/Los_Angeles,Yes
Port of Miami Terminal Operating Company,POMTOC,L239,Miami Seaport,USMIA,Miami,FL,US,America/New_York,Yes
South Florida Container Terminal,SFCT,N775,Miami Seaport,USMIA,Miami,FL,US,America/New_York,Yes
APM Terminal,APM Mobile,R103,Mobile,USMOB,Mobile,AL,US,America/Chicago,Yes
Napoleon Container Terminal,Napoleon,P260,New Orleans,USMSY,New Orleans,LA,US,America/Chicago,Yes
New Orleans Terminal,Milan,Q795,New Orleans,USMSY,New Orleans,LA,US,America/Chicago,Yes
Port Elizabeth,APM Terminals,E425,New York / New Jersey,USNYC,New York,NY,US,America/New_York,Yes
GCT New York LP,GCT,E005,New York / New Jersey,USNYC,New York,NY,US,America/New_York,Yes
Maher Terminals,Maher,E416,New York / New Jersey,USNYC,New York,NY,US,America/New_York,Yes
GCT Bayonne,GCTB,E364,New York / New Jersey,USNYC,New York,NY,US,America/New_York,Yes
Port Newark Container Terminal,PNCT,F577,New York / New Jersey,USNYC,New York,NY,US,America/New_York,Yes
Oakland International Container Terminal,SSA,Z985,Oakland,USOAK,Oakland,CA,US,America/Los_Angeles,Yes
TraPac Terminal,TraPac,Y549,Oakland,USOAK,Oakland,CA,US,America/Los_Angeles,Yes
Ben E. Nutter Terminal,Everport,Y738,Oakland,USOAK,Oakland,CA,US,America/Los_Angeles,Yes
Packer Avenue,Packer Avenue,C095,PhilaPort,USPHL,Philadelphia,PA,US,America/New_York,Yes
Florida International Terminal,FIT,N751,Port Everglades,USPEF,Fort Lauderdale,FL,US,America/New_York,Yes
Tampa Bay Container Terminal,Tampa Bay,M669,Port Tampa Bay,USPOT,Tampa Bay,FL,US,America/New_York,Yes
Garden City Terminals,GCT,L737,Savannah,USSAV,Savannah,GA,US,America/New_York,Yes
SSA Terminal 18,Terminal 18,X117,Seattle,USSEA,Seattle,WA,US,America/Los_Angeles,Yes
SSA Terminal 30,Terminal 30,Y197,Seattle,USSEA,Seattle,WA,US,America/Los_Angeles,Yes
Pierce County Terminal,PCT,X215,Tacoma,USTIW,Tacoma,WA,US,America/Los_Angeles,Yes
Husky Terminal,Husky,Z693,Tacoma,USTIW,Tacoma,WA,US,America/Los_Angeles,Yes
Washington United Terminals,WUT,Z705,Tacoma,USTIW,Tacoma,WA,US,America/Los_Angeles,Yes
Tacoma Container Terminal,TCT,WAM2,Tacoma,USTIW,Tacoma,WA,US,America/Los_Angeles,Yes
Richmond Marine Terminal,Richmond (RMT),LAQ4,Virginia,USORF,Norfolk,VA,US,America/New_York,Yes
Portsmouth Marine Terminal,Portsmouth (PMT),L045,Virginia,USORF,Norfolk,VA,US,America/New_York,Yes
Virginia International Gateway,Virginia (VIG),N195,Virginia,USORF,Norfolk,VA,US,America/New_York,Yes
Norfolk International Terminals,Norfolk (NIT),L005,Virginia,USORF,Norfolk,VA,US,America/New_York,Yes